s0,s1,s2,transform,action,overall
CC,C,RR,0.0168978,0.276373,0.364692
CC,C,RR,0.01671,0.276269,0.375783
CC,C,RR,0.0168738,0.276221,0.361685
CC,C,RR,0.0167051,0.276292,0.362798
CC,C,RR,0.0168576,0.276373,0.360008
CC,C,RR,0.0166488,0.276607,0.35925
CC,C,RR,0.0167488,0.2764,0.359804
CC,C,RR,0.0166275,0.276254,0.379804
CC,C,RR,0.0167913,0.276359,0.365609
CC,C,RR,0.0166834,0.276324,0.362821
CC,C,RR,0.0170416,0.276446,0.367652
CC,C,RR,0.0167701,0.276314,0.361207
CC,C,RR,0.016808,0.276258,0.35903
CC,C,RR,0.0166702,0.276281,0.375513
CC,C,RR,0.0169331,0.276276,0.356628
CC,C,RR,0.0167184,0.276422,0.360511
CC,C,RR,0.0167809,0.276433,0.363701
CC,C,RR,0.0128958,0.276327,0.363654
CC,C,RR,0.016756,0.276332,0.363364
CC,C,RR,0.0165504,0.272893,0.3758
CC,C,CR,0.0154634,0.272855,0.355275
CC,C,CR,0.0154313,0.272921,0.351751
CC,C,CR,0.0152998,0.272858,0.352555
CC,C,CR,0.0116353,0.27321,0.355348
CC,C,CR,0.0153792,0.27273,0.358862
CC,C,CR,0.0153771,0.273148,0.369633
CC,C,CR,0.0155879,0.272793,0.354022
CC,C,CR,0.0152856,0.272724,0.353092
CC,C,CR,0.0153384,0.272766,0.35804
CC,C,CR,0.0152826,0.272753,0.354836
CC,C,CR,0.0152979,0.272732,0.356307
CC,C,CR,0.0117518,0.272854,0.371244
CC,C,CR,0.0116836,0.272749,0.355772
CC,C,CR,0.0153323,0.27283,0.355632
CC,C,CR,0.0153202,0.272892,0.352955
CC,C,CR,0.0154156,0.273106,0.355679
CC,C,CR,0.0153452,0.272973,0.351066
CC,C,CR,0.0152051,0.272914,0.366801
CC,C,CR,0.0116013,0.272836,0.355244
CC,C,CR,0.0153717,0.272734,0.354927
CC,C,RC,0.0163121,0.272895,0.360704
CC,C,RC,0.01607,0.272746,0.357977
CC,C,RC,0.015782,0.272709,0.354911
CC,C,RC,0.0159611,0.272609,0.370281
CC,C,RC,0.0156623,0.262567,0.341355
CC,C,RC,0.0113445,0.258008,0.33751
CC,C,RC,0.0152567,0.257137,0.338774
CC,C,RC,0.0149632,0.257124,0.334084
CC,C,RC,0.0150616,0.257152,0.331822
CC,C,RC,0.0149726,0.257146,0.333003
CC,C,RC,0.0152319,0.257132,0.366265
CC,C,RC,0.0149445,0.257177,0.334591
CC,C,RC,0.0149346,0.257165,0.338687
CC,C,RC,0.0150508,0.257181,0.337967
CC,C,RC,0.0151496,0.257191,0.337068
CC,C,RC,0.0150397,0.257265,0.332068
CC,C,RC,0.0153166,0.26472,0.340052
CC,C,RC,0.0159386,0.272672,0.374911
CC,C,RC,0.0160068,0.272716,0.356981
CC,C,RC,0.0122002,0.272718,0.359286
CC,C,C,0.0113316,0.272902,0.356794
CC,C,C,0.0148197,0.272934,0.353351
CC,C,C,0.0149423,0.272875,0.357573
CC,C,C,0.0111235,0.272894,0.374104
CC,C,C,0.014824,0.272911,0.363447
CC,C,C,0.0149019,0.273232,0.359999
CC,C,C,0.0148857,0.27292,0.35543
CC,C,C,0.0148426,0.272787,0.355256
